_time;Cantidad;Material_Descripcion;Material_ItemLargo;Orden;Proceso;Unidad;Unidad_qc;Material_Descripcion_qc;Orden_qc;Material_ItemLargo_qc;Cantidad_qc;Proceso_qc
2024-07-03T17:52:50.784Z;259;BOM.BOB CHOC 12X30X16G TROQUEL;402382;48361058;reproceso;kg;1;1;1;1;1;1
2024-07-03T18:34:17.108Z;597;BASE BLANC P/RELLN AIREABL;9706;48853314;reproceso;kg;1;1;1;1;1;1
2024-07-03T18:41:33.298Z;0.375;FLEX BOB FRUT-CHO 16G MNJ JP24;60100648958;48853314;scrap;kg;1;1;1;1;1;1
2024-07-03T20:06:52.224Z;147;BOB FRUT/CHO 16G JPN MNSJ -ENV;50200224379;48853314;decomiso;kg;1;1;1;1;1;1
2024-07-03T21:09:31.433Z;14.82;BOB FRUT/CHOCO 16G JAP-DESEN;50200321698;48853314;decomiso;kg;1;1;1;1;1;1
2024-07-04T00:00:46.489Z;7.31;BOM. BOB LECHE 15G DESENV;50200316860;48034060;decomiso;kg;1;1;1;1;1;1
2024-07-04T08:08:46.655Z;5.725;FLEX BB BOB LECHE 15 GR;60100644551;48882048;scrap;kg;1;1;1;1;1;1
2024-07-04T08:25:25.801Z;24.59;BOM. BOB LECHE 15G DESENV;50200316860;48882048;decomiso;kg;1;1;1;1;1;1
2024-07-04T15:01:53.327Z;90;BOM. BOB LECHE 15G DESENV;50200316860;48882048;decomiso;kg;1;1;1;1;1;1
2024-07-04T16:17:26.467Z;15.6;DISPLAY BOB LECHE 270G URUG 23;61200211356;48040096;scrap;kg;1;1;1;1;1;1
2024-07-04T16:20:47.607Z;0;DISPLAY BOB LECHE 270G URUG 23;61200211356;48040096;scrap;kg;1;1;1;1;1;1
2024-07-04T16:21:12.867Z;16.25;DISPLAY BOB LECHE 270G URUG 23;61200211356;48040096;scrap;kg;1;1;1;1;1;1
2024-07-04T16:24:46.715Z;10.07;BOM. BOB LECHE 15G DESENV;50200316860;48040096;decomiso;kg;1;1;1;1;1;1
2024-07-04T16:25:44.185Z;4.45;FLEXBLE BOB LECHE 15G?FLL SUR;60100648859;48040096;scrap;kg;1;1;1;1;1;1
2024-07-04T16:29:46.426Z;1.075;FLEXBLE BOB LECHE 15G?FLL SUR;60100648859;48040096;scrap;kg;1;1;1;1;1;1
2024-07-04T20:55:40.017Z;15.75;RELLENO FRUTILLA BOB JAPON;50200721701;48673559;decomiso;kg;1;1;1;1;1;1
